"RESOLVED_ENTITY_ID","RESOLVED_ENTITY_NAME","RELATED_ENTITY_ID","MATCH_LEVEL","MATCH_KEY","DATA_SOURCE","RECORD_ID","JSON_DATA","LENS_CODE"
"11","PEGGIE CLARK","0","0","","TEST","574346683","{""ADDR_CITY"":""ColumCia"",""ADDR_LINE1"":""4922 Beaverbrook RD"",""ADDR_POSTAL_CODE"":""21044"",""ADDR_STATE"":""MD"",""DATE_OF_BIRTH"":""20/1/1964"",""GENDER"":""F"",""NAME_FIRST"":""PEGGIE"",""NAME_LAST"":""CLARK"",""SSN_NUMBER"":""832-02-0470"",""entityid"":""320234306"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""574346683""}","DEFAULT"
"12","JAMES RIGGS","0","0","","TEST","592246333","{""ADDR_CITY"":""Cortland"",""ADDR_LINE1"":""256 Bell DR"",""ADDR_POSTAL_CODE"":""13045"",""ADDR_STATE"":""NY"",""CC_ACCOUNT_NUMBER"":""58935946937986885"",""DATE_OF_BIRTH"":""16/5/1968"",""GENDER"":""M"",""NAME_FIRST"":""JAMES"",""NAME_LAST"":""RIGGS"",""PHONE_NUMBER"":""557-9648"",""SOCIAL_HANDLE"":""clockedx"",""entityid"":""322375455"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""592246333""}","DEFAULT"
"13","NORMAN M","0","0","","TEST","24449725","{""ADDR_CITY"":""Laredo"",""ADDR_LINE1"":""8509 Chibcha CT"",""ADDR_POSTAL_CODE"":""7046"",""ADDR_STATE"":""TX"",""CC_ACCOUNT_NUMBER"":""6478807711497509"",""DRIVERS_LICENSE_NUMBER"":""224KQ7250"",""GENDER"":""M"",""NAME_FIRST"":""NORMAN"",""NAME_LAST"":""M"",""PASSPORT_NUMBER"":""C1WWX4YU"",""PHONE_NUMBER"":""832-581-0337"",""SSN_NUMBER"":""873-24-8688"",""entityid"":""24449725"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""24449725""}","DEFAULT"
"14","SHAWN DUNHAM","0","0","","TEST","334792","{""ADDR_CITY"":""Hartwell"",""ADDR_LINE1"":""338 ArtDhur ST"",""ADDR_STATE"":""GA"",""CC_ACCOUNT_NUMBER"":""6465010775251598"",""DATE_OF_BIRTH"":""18/2/1981"",""DRIVERS_LICENSE_NUMBER"":""12610"",""DRIVERS_LICENSE_STATE"":""RA"",""GENDER"":""M"",""NAME_FIRST"":""SHAWN"",""NAME_LAST"":""DUNHAM"",""PHONE_NUMBER"":""706-836-8569"",""entityid"":""334792"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""334792""}","DEFAULT"
"15","FRANK BARRERA","0","0","","TEST","193414519","{""ADDR_CITY"":""Corona"",""ADDR_LINE1"":""4144 102dn ST"",""ADDR_POSTAL_CODE"":""11368"",""ADDR_STATE"":""NY"",""CC_ACCOUNT_NUMBER"":""4368874468396084"",""DATE_OF_BIRTH"":""21/4/1943"",""DRIVERS_LICENSE_NUMBER"":""IS33089"",""DRIVERS_LICENSE_STATE"":""VW"",""GENDER"":""M"",""NAME_FIRST"":""FRANK"",""NAME_LAST"":""BARRERA"",""PASSPORT_NUMBER"":""MMFBL9AW2"",""PHONE_NUMBER"":""646-348-8252"",""SSN_NUMBER"":""012-96-6339"",""entityid"":""193414519"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""193414519""}","DEFAULT"
"16","IRMA B","0","0","","TEST","223654019","{""ADDR_CITY"":""Reedsport"",""ADDR_LINE1"":""118 10th ST"",""ADDR_POSTAL_CODE"":""97467"",""ADDR_STATE"":""OR"",""CC_ACCOUNT_NUMBER"":""5038720476819168"",""DATE_OF_BIRTH"":""13/6/1941"",""DRIVERS_LICENSE_NUMBER"":""908783918"",""GENDER"":""F"",""NAME_FIRST"":""IRMA"",""NAME_LAST"":""B"",""PHONE_NUMBER"":""541-494-8571"",""SOCIAL_HANDLE"":""hostagesp"",""SSN_NUMBER"":""820-19-9753"",""entityid"":""215112233"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""223654019""}","DEFAULT"
"17","CONNIE ALVAREZ","0","0","","TEST","48743213","{""ADDR_CITY"":""Olive Hill"",""ADDR_LINE1"":""44 Armory DR"",""ADDR_POSTAL_CODE"":""41164"",""ADDR_STATE"":""KY"",""DATE_OF_BIRTH"":""14/8/1951"",""DRIVERS_LICENSE_NUMBER"":""320863148"",""DRIVERS_LICENSE_STATE"":""TC"",""GENDER"":""F"",""NAME_FIRST"":""CONNIE"",""NAME_LAST"":""ALVAREZ"",""PASSPORT_NUMBER"":""L76AMQD"",""PHONE_NUMBER"":""590-6432"",""SOCIAL_HANDLE"":""babassusl"",""SSN_NUMBER"":""500-65-3142"",""entityid"":""48743213"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""48743213""}","DEFAULT"
"18","MICHAEL MCBRIDE","0","0","","TEST","477779053","{""ADDR_CITY"":""Ann Arbor"",""ADDR_LINE1"":""554  ST"",""ADDR_POSTAL_CODE"":""48103"",""CC_ACCOUNT_NUMBER"":""4360643380452"",""DRIVERS_LICENSE_NUMBER"":""815677846"",""DRIVERS_LICENSE_STATE"":""WP"",""GENDER"":""M"",""NAME_FIRST"":""MICHAEL"",""NAME_LAST"":""MCBRIDE"",""PHONE_NUMBER"":""727-2248"",""SOCIAL_HANDLE"":""escudosw"",""SSN_NUMBER"":""483-82-5056"",""entityid"":""305362998"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""477779053""}","DEFAULT"
"19","LYNN SIDDON","0","0","","TEST","302231525","{""ADDR_CITY"":""Webster"",""ADDR_LINE1"":""58 Anean DR"",""ADDR_POSTAL_CODE"":""14580"",""ADDR_STATE"":""NY"",""CC_ACCOUNT_NUMBER"":""347655321020589"",""DRIVERS_LICENSE_NUMBER"":""415238333"",""GENDER"":""M"",""NAME_FIRST"":""LYNN"",""NAME_LAST"":""SIDDON"",""PHONE_NUMBER"":""296-2698"",""entityid"":""254400986"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""302231525""}","DEFAULT"
"20","NETTIE G","0","0","","TEST","356783390","{""ADDR_CITY"":""Alexandria"",""ADDR_LINE1"":""582 14t "",""ADDR_POSTAL_CODE"":""71301"",""ADDR_STATE"":""LA"",""DATE_OF_BIRTH"":""5/6/1975"",""DRIVERS_LICENSE_NUMBER"":""183090051"",""DRIVERS_LICENSE_STATE"":""YW"",""GENDER"":""F"",""NAME_FIRST"":""NETTIE"",""NAME_LAST"":""G"",""PASSPORT_NUMBER"":""CP61X3MVD"",""SSN_NUMBER"":""301-45-1935"",""entityid"":""274463373"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""356783390""}","DEFAULT"
"21","RUSSELL MORSE","0","0","","TEST","586303646","{""ADDR_CITY"":""Dalls"",""ADDR_LINE1"":""4854 Bobbitt DR"",""ADDR_POSTAL_CODE"":""75229"",""DRIVERS_LICENSE_NUMBER"":""32270668OH"",""DRIVERS_LICENSE_STATE"":""OM"",""GENDER"":""M"",""NAME_FIRST"":""RUSSELL"",""NAME_LAST"":""MORSE"",""PHONE_NUMBER"":""491-7593"",""SSN_NUMBER"":""886-62-7934"",""entityid"":""321715156"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""586303646""}","DEFAULT"
"22","LOIUSE SHEALY","0","0","","TEST","54624003","{""ADDR_CITY"":""Delano"",""ADDR_LINE1"":""1914  ST"",""ADDR_POSTAL_CODE"":""55328"",""ADDR_STATE"":""MN"",""CC_ACCOUNT_NUMBER"":""402345042230927"",""GENDER"":""N/A"",""NAME_FIRST"":""LOIUSE"",""NAME_LAST"":""SHEALY"",""PHONE_NUMBER"":""507-796-8511"",""SOCIAL_HANDLE"":""sabbed9"",""entityid"":""54624003"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""54624003""}","DEFAULT"
"23","DIMNNE KEEL","0","0","","TEST","465509507","{""ADDR_CITY"":""Kunkletown"",""ADDR_LINE1"":""3112 Cherry RD"",""ADDR_POSTAL_CODE"":""18058"",""ADDR_STATE"":""PA"",""DATE_OF_BIRTH"":""4/2/1974"",""DRIVERS_LICENSE_STATE"":""MD"",""GENDER"":""N/A"",""NAME_FIRST"":""DIMNNE"",""NAME_LAST"":""KEEL"",""PASSPORT_NUMBER"":""CGSLNYHGH"",""PHONE_NUMBER"":""610-999-6406"",""entityid"":""302909089"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""465509507""}","DEFAULT"
"24","EDWARD BACHAR","0","0","","TEST","586341692","{""ADDR_CITY"":""Mimi"",""ADDR_LINE1"":""176664  AVENUE"",""ADDR_POSTAL_CODE"":""33157"",""ADDR_STATE"":""FL"",""CC_ACCOUNT_NUMBER"":""6010134379839054"",""DATE_OF_BIRTH"":""28/7/1971"",""GENDER"":""M"",""NAME_FIRST"":""EDWARD"",""NAME_LAST"":""BACHAR"",""PASSPORT_NUMBER"":""R4ESEO76"",""PHONE_NUMBER"":""786-596-8042"",""SSN_NUMBER"":""766-73-1476"",""entityid"":""321719384"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""586341692""}","DEFAULT"
"25","J DICHIARA","0","0","","TEST","598256374","{""ADDR_CITY"":""Marysville"",""ADDR_LINE1"":""072 109th ST"",""ADDR_POSTAL_CODE"":""98271"",""ADDR_STATE"":""WA"",""CC_ACCOUNT_NUMBER"":""51175115453255385"",""DATE_OF_BIRTH"":""13/11/1934"",""DRIVERS_LICENSE_STATE"":""TX"",""GENDER"":""M"",""NAME_FIRST"":""J"",""NAME_LAST"":""DICHIARA"",""PASSPORT_NUMBER"":""HKFIGD87"",""PHONE_NUMBER"":""206-690-2276"",""SOCIAL_HANDLE"":""wasts2"",""SSN_NUMBER"":""149-43-3414"",""entityid"":""323043237"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""598256374""}","DEFAULT"
"26","CINDY L","0","0","","TEST","453304771","{""ADDR_CITY"":""Hamilton"",""ADDR_LINE1"":""7236 aBven RD"",""ADDR_POSTAL_CODE"":""46742"",""ADDR_STATE"":""IN"",""GENDER"":""N/A"",""NAME_FIRST"":""CINDY"",""NAME_LAST"":""L"",""PASSPORT_NUMBER"":""1QE4I5J"",""entityid"":""300468142"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""453304771""}","DEFAULT"
"27","ERNEST SHIRER I","0","0","","TEST","151368553","{""ADDR_CITY"":""Irvine"",""ADDR_LINE1"":""7029 Barranca PKY"",""ADDR_POSTAL_CODE"":""492618"",""ADDR_STATE"":""California"",""CC_ACCOUNT_NUMBER"":""484153898805379"",""DRIVERS_LICENSE_NUMBER"":""O26049674"",""GENDER"":""M"",""NAME_FIRST"":""ERNEST"",""NAME_LAST"":""SHIRER"",""NAME_SUFFIX"":""I"",""PHONE_NUMBER"":""657-892-1805"",""SSN_NUMBER"":""078-20-7044"",""entityid"":""151368553"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""151368553""}","DEFAULT"
"28","CARLOS DUNN","0","0","","TEST","54830163","{""ADDR_CITY"":""Kalamazoo"",""ADDR_LINE1"":""2402  AVE"",""ADDR_POSTAL_CODE"":""49008"",""ADDR_STATE"":""MI"",""CC_ACCOUNT_NUMBER"":""5246040653354974"",""DATE_OF_BIRTH"":""2/5/1988"",""GENDER"":""M"",""NAME_FIRST"":""CARLOS"",""NAME_LAST"":""DUNN"",""SSN_NUMBER"":""300-23-3111"",""entityid"":""54830163"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""54830163""}","DEFAULT"
"29","LOREN MOYER","0","0","","TEST","48746951","{""ADDR_CITY"":""Compton"",""ADDR_LINE1"":""522 Arlington ST"",""ADDR_POSTAL_CODE"":""90221"",""ADDR_STATE"":""CA"",""CC_ACCOUNT_NUMBER"":""67591768510445283"",""GENDER"":""F"",""NAME_FIRST"":""LOREN"",""NAME_LAST"":""MOYER"",""PHONE_NUMBER"":""722-1500"",""SSN_NUMBER"":""593-35-8440"",""entityid"":""48746951"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""48746951""}","DEFAULT"
"30","JEAN COGGINS","0","0","","TEST","429104721","{""ADDR_CITY"":""Vancouver"",""ADDR_LINE1"":""2968 13th PL"",""CC_ACCOUNT_NUMBER"":""6460584239808248"",""DRIVERS_LICENSE_STATE"":""AR"",""GENDER"":""F"",""NAME_FIRST"":""JEAN"",""NAME_LAST"":""COGGINS"",""PHONE_NUMBER"":""360-548-4159"",""SSN_NUMBER"":""133-67-2112"",""entityid"":""295000997"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""429104721""}","DEFAULT"
"31","CATALDI","0","0","","TEST","501797874","{""ADDR_CITY"":""Clevland"",""ADDR_LINE1"":""3844 12tGh PL"",""ADDR_POSTAL_CODE"":""44109"",""ADDR_STATE"":""OH"",""CC_ACCOUNT_NUMBER"":""377040087916677"",""DATE_OF_BIRTH"":""9/8/1957"",""DRIVERS_LICENSE_NUMBER"":""9060400L"",""DRIVERS_LICENSE_STATE"":""VT"",""GENDER"":""N/A"",""NAME_LAST"":""CATALDI"",""PASSPORT_NUMBER"":""74P84V"",""PHONE_NUMBER"":""440-747-9515"",""SOCIAL_HANDLE"":""subnasalp"",""SSN_NUMBER"":""691-37-5817"",""entityid"":""309654570"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""501797874""}","DEFAULT"
"32","JOHN MCCLAIN","0","0","","TEST","417176402","{""ADDR_CITY"":""La Habra"",""ADDR_LINE1"":""155 Bedford ST"",""ADDR_POSTAL_CODE"":""97063"",""ADDR_STATE"":""CA"",""CC_ACCOUNT_NUMBER"":""349039703163436"",""DRIVERS_LICENSE_NUMBER"":""3428"",""GENDER"":""M"",""NAME_FIRST"":""JOHN"",""NAME_LAST"":""MCCLAIN"",""PASSPORT_NUMBER"":""C1D161T"",""PHONE_NUMBER"":""760-306-8287"",""SOCIAL_HANDLE"":""leechedg"",""SSN_NUMBER"":""537-49-7926"",""entityid"":""292018918"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""417176402""}","DEFAULT"
"33","SHANNON FOX","0","0","","TEST","217922275","{""ADDR_CITY"":""NHeUton"",""ADDR_LINE1"":""102 6th AVE"",""ADDR_STATE"":""MS"",""DRIVERS_LICENSE_STATE"":""KY"",""GENDER"":""F"",""NAME_FIRST"":""SHANNON"",""NAME_LAST"":""FOX"",""PASSPORT_NUMBER"":""Q31CX5H"",""PHONE_NUMBER"":""662-965-0249"",""SOCIAL_HANDLE"":""esthesia7"",""SSN_NUMBER"":""581-57-2431"",""entityid"":""212246361"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""217922275""}","DEFAULT"
"34","JULIUS ADASM","0","0","","TEST","78594687","{""ADDR_CITY"":""Clarkston"",""ADDR_LINE1"":""10096 Andersonville RD"",""ADDR_POSTAL_CODE"":""48346"",""ADDR_STATE"":""MI"",""DRIVERS_LICENSE_NUMBER"":""D931193"",""DRIVERS_LICENSE_STATE"":""IR"",""GENDER"":""M"",""NAME_FIRST"":""JULIUS"",""NAME_LAST"":""ADASM"",""PHONE_NUMBER"":""460-8398"",""entityid"":""78594687"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""78594687""}","DEFAULT"
"35","JUSTIN PILOT","0","0","","TEST","278003125","{""ADDR_CITY"":""Ogden"",""ADDR_LINE1"":""4980 1500North ST"",""ADDR_POSTAL_CODE"":""834404"",""ADDR_STATE"":""UT"",""CC_ACCOUNT_NUMBER"":""5305561792578482"",""DRIVERS_LICENSE_NUMBER"":""792907"",""GENDER"":""N/A"",""NAME_FIRST"":""JUSTIN"",""NAME_LAST"":""PILOT"",""PASSPORT_NUMBER"":""CQO87QPOD"",""SOCIAL_HANDLE"":""teacupm"",""SSN_NUMBER"":""617-96-9548"",""entityid"":""242286786"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""278003125""}","DEFAULT"
"36","J ACRSON","0","0","","TEST","78564006","{""ADDR_CITY"":""CharlotteGville"",""ADDR_LINE1"":""650 9th "",""ADDR_POSTAL_CODE"":""22903"",""ADDR_STATE"":""VA"",""DATE_OF_BIRTH"":""25/8/1960"",""DRIVERS_LICENSE_NUMBER"":""G0962499699"",""GENDER"":""M"",""NAME_FIRST"":""J"",""NAME_LAST"":""ACRSON"",""SSN_NUMBER"":""328-95-0416"",""entityid"":""78564006"",""srccode"":""MDMPER"",""DATA_SOURCE"":""TEST"",""ENTITY_TYPE"":""TEST"",""DSRC_ACTION"":""A"",""LENS_CODE"":""DEFAULT"",""RECORD_ID"":""78564006""}","DEFAULT"
